name,address,age,gender,contact,birthday
Salvadora Caballero,Barangay Santo Domingo,39,Female,09901234573,1984-07-11
Nemesio Benitez,Barangay San Miguel,27,Male,09012345684,1996-12-24
Inocencia Rojas,Barangay San Jose,44,Female,09123456786,1979-04-06
Abundio Esteban,Barangay Santa Maria,36,Male,09234567897,1987-09-19
Feliciana Lorenzo,Barangay San Antonio,33,Female,09345678908,1990-01-01
Remigio Morales,Barangay Santo Domingo,50,Male,09456789019,1973-06-14
Aurea Hidalgo,Barangay San Miguel,24,Female,09567890130,1999-11-27
Ubaldo Montero,Barangay San Jose,47,Male,09678901241,1976-03-10
Escolastica Lara,Barangay Santa Maria,31,Female,09789012352,1992-08-23
Venancio Jimenez,Barangay San Antonio,45,Male,09890123463,1978-12-05
Basilisa Ortiz,Barangay Santo Domingo,38,Female,09901234574,1985-05-18
Laureano Rubio,Barangay San Miguel,29,Male,09012345685,1994-10-31
Silveria Vargas,Barangay San Jose,42,Female,09123456787,1981-02-13
Leoncio Castro,Barangay Santa Maria,34,Male,09234567898,1989-07-26
Filomena Ramos,Barangay San Antonio,28,Female,09345678909,1995-12-08
Eustaquio Sandoval,Barangay Santo Domingo,46,Male,09456789020,1977-04-21
Custodia Navarro,Barangay San Miguel,37,Female,09567890131,1986-09-03
Aquilino Ortega,Barangay San Jose,33,Male,09678901242,1990-01-16
Modesta Moreno,Barangay Santa Maria,49,Female,09789012353,1974-06-29
Pantaleón Ruiz,Barangay San Antonio,25,Male,09890123464,1998-11-11
Ricarda Diaz,Barangay Santo Domingo,41,Female,09901234575,1982-03-24
Filiberto Peña,Barangay San Miguel,36,Male,09012345686,1987-08-07
Natalia Luna,Barangay San Jose,30,Female,09123456788,1993-12-20
Hermenegildo Vega,Barangay Santa Maria,48,Male,09234567899,1975-05-02
Agripina Cortez,Barangay San Antonio,35,Female,09345678910,1988-10-15
Baldomero Serrano,Barangay Santo Domingo,27,Male,09456789021,1996-02-28
Quintina Blanco,Barangay San Miguel,43,Female,09567890132,1980-07-10
Lamberto Molina,Barangay San Jose,39,Male,09678901243,1984-12-23
Eufemia Campos,Barangay Santa Maria,32,Female,09789012354,1991-04-05
Secundino Prieto,Barangay San Antonio,44,Male,09890123465,1979-09-18
Sinforosa Rubio,Barangay Santo Domingo,26,Female,09901234576,1997-01-31
Eusebio Marquez,Barangay San Miguel,50,Male,09012345687,1973-06-13
Demetria Delgado,Barangay San Jose,38,Female,09123456789,1985-11-26
Nicanor Gallego,Barangay Santa Maria,31,Male,09234567890,1992-03-09
Saturnina Fuentes,Barangay San Antonio,47,Female,09345678901,1976-08-22
