name,age,sex,barangay,address,contact,birthday
Casey Johnson,14,Female,Sun Valley,575 Road Sun Valley,09894382287,1946-01-07
Morgan Harris,46,Male,BF Homes,253 Avenue BF Homes,09764175225,1943-07-17
Skyler Johnson,36,Female,Sun Valley,820 Street Sun Valley,09240157939,2001-03-05
Casey Thomas,48,Female,Don Bosco,24 Avenue Don Bosco,09615875527,1979-05-05
John Martin,33,Male,BF Homes,98 Road BF Homes,09780769748,1979-04-07
Pat Martin,89,Male,Don Bosco,154 Avenue Don Bosco,09134691681,1970-06-17
Casey Johnson,27,Female,Merville,633 Street Merville,09382082685,1992-07-13
Chris Taylor,56,Female,Marcelo Green,189 Street Marcelo Green,09643092612,1965-03-10
Casey Jackson,84,LGBTQ,San Antonio,617 Avenue San Antonio,09360726868,1941-08-26
Taylor Thompson,9,Male,Sun Valley,921 Road Sun Valley,09997080366,1998-12-30
Pat Johnson,23,Male,San Antonio,546 Road San Antonio,09473732343,2008-08-15
Cameron Johnson,37,LGBTQ,Moonwalk,483 Street Moonwalk,09404817456,1999-08-31
Jordan Thomas,48,Male,San Antonio,107 Road San Antonio,09994046491,1980-03-15
Jordan Garcia,86,Male,BF Homes,322 Road BF Homes,09122452532,1995-04-03
Alex Martinez,57,Male,San Martin de Porres,738 Road San Martin de Porres,09801434898,1995-06-21
Casey White,28,LGBTQ,Sun Valley,568 Road Sun Valley,09106902843,1982-04-26
Sam Robinson,86,LGBTQ,Merville,798 Road Merville,09615791604,1943-11-20
Jane Anderson,64,Male,BF Homes,652 Avenue BF Homes,09786322959,2005-04-27
Jane Johnson,78,Male,San Antonio,290 Street San Antonio,09720559837,1975-10-23
Sam Thompson,81,Female,San Antonio,210 Road San Antonio,09738567091,2016-07-10
John Garcia,48,Female,BF Homes,628 Avenue BF Homes,09554675959,1947-01-23
John Taylor,47,Male,Sun Valley,398 Street Sun Valley,09799014487,2005-02-11
Pat Thomas,3,Female,Moonwalk,720 Road Moonwalk,09248579061,2017-09-21
Morgan Johnson,88,LGBTQ,Merville,999 Road Merville,09913524593,2004-03-29
Chris Martin,81,LGBTQ,BF Homes,780 Street BF Homes,09206798549,1986-09-18
John Brown,82,Male,Moonwalk,103 Avenue Moonwalk,09507370228,1945-05-29
Casey Thompson,57,Male,Don Bosco,339 Avenue Don Bosco,09465414849,2011-08-16
Sam Taylor,85,LGBTQ,Sun Valley,701 Street Sun Valley,09787777041,1992-01-12
Robin Taylor,55,Male,Moonwalk,315 Road Moonwalk,09550096403,1981-07-18
Jordan Robinson,72,LGBTQ,BF Homes,111 Avenue BF Homes,09858573203,1961-09-28
Cameron Brown,65,Female,BF Homes,744 Street BF Homes,09229399069,1993-11-06
Taylor Martinez,78,Female,Merville,84 Road Merville,09120683475,1963-12-12
Jordan Johnson,57,LGBTQ,San Antonio,269 Avenue San Antonio,09754710886,1989-07-19
Jane Taylor,25,Female,San Martin de Porres,867 Road San Martin de Porres,09913323718,1989-11-14
Pat White,78,LGBTQ,Merville,979 Street Merville,09922359165,1966-08-12
Jamie Martinez,38,LGBTQ,Don Bosco,154 Street Don Bosco,09434968996,1967-05-07
John Thomas,38,Female,BF Homes,233 Avenue BF Homes,09716026562,1989-04-10
Skyler Martin,37,Female,Sun Valley,756 Avenue Sun Valley,09121473161,1973-09-11
Jamie Thomas,40,LGBTQ,Sun Valley,736 Avenue Sun Valley,09262385352,1944-05-24
Drew Brown,68,Female,Marcelo Green,934 Street Marcelo Green,09953321209,2001-03-31
Alex Smith,23,LGBTQ,San Antonio,215 Avenue San Antonio,09133411622,1997-10-06
Chris Johnson,25,Male,Don Bosco,188 Avenue Don Bosco,09353107636,1965-06-16
Casey Thomas,49,LGBTQ,Moonwalk,388 Road Moonwalk,09504302434,1943-02-03
Jordan Jackson,59,LGBTQ,Moonwalk,478 Road Moonwalk,09595291276,1945-11-03
Pat Brown,18,Male,BF Homes,452 Street BF Homes,09703037069,2023-08-29
Skyler Martin,59,LGBTQ,Sun Valley,65 Avenue Sun Valley,09551061218,1966-08-07
Alex Thompson,48,Female,BF Homes,671 Avenue BF Homes,09972204828,1949-05-28
John Smith,42,Female,San Antonio,893 Avenue San Antonio,09842965573,1967-05-29
Casey Smith,86,Male,Marcelo Green,56 Avenue Marcelo Green,09180053618,1990-10-29
Drew Thomas,28,LGBTQ,Marcelo Green,258 Street Marcelo Green,09261979650,2019-10-04
Jane Martin,9,LGBTQ,Merville,477 Avenue Merville,09384697188,1976-05-08
Alex Anderson,86,Male,Don Bosco,268 Avenue Don Bosco,09864621735,1959-02-09
Casey Jackson,12,LGBTQ,Sun Valley,196 Street Sun Valley,09694815357,2000-04-06
Taylor Thompson,23,Female,San Antonio,864 Avenue San Antonio,09957549386,2019-05-03
Morgan Brown,35,Female,Sun Valley,153 Road Sun Valley,09755210954,2011-02-20
Taylor Martin,57,Male,Marcelo Green,472 Avenue Marcelo Green,09270570542,1978-07-28
Jamie Thomas,82,LGBTQ,San Antonio,47 Road San Antonio,09904488249,1986-04-06
Casey White,13,LGBTQ,Merville,626 Road Merville,09453917829,1991-11-16
Jamie Johnson,43,Female,Sun Valley,392 Road Sun Valley,09178101148,1972-06-05
Casey Johnson,34,Male,Sun Valley,460 Avenue Sun Valley,09126548015,1964-11-17
Drew Jackson,3,Male,Don Bosco,968 Road Don Bosco,09879823892,1980-09-02
Jane Anderson,4,Male,San Martin de Porres,957 Road San Martin de Porres,09694398550,1957-08-12
John Martin,62,LGBTQ,Moonwalk,712 Road Moonwalk,09725154822,1953-04-27
Morgan Thomas,34,Male,Sun Valley,568 Avenue Sun Valley,09336001425,1961-06-16
Sam Martin,9,Female,San Antonio,692 Avenue San Antonio,09403715893,1959-06-01
Morgan Harris,73,Female,BF Homes,973 Street BF Homes,09865356439,1966-07-05
Pat Johnson,31,Female,BF Homes,164 Avenue BF Homes,09867436325,1943-04-25
Casey Harris,55,LGBTQ,BF Homes,417 Road BF Homes,09141101939,1983-09-18
Drew Thomas,80,Male,BF Homes,617 Avenue BF Homes,09465737616,1941-03-23
Taylor Johnson,69,Female,Merville,427 Road Merville,09195541172,1966-11-11
Jordan Brown,31,Male,Sun Valley,572 Street Sun Valley,09958824337,2013-02-09
John Robinson,89,Male,San Antonio,529 Road San Antonio,09433628744,1962-12-14
Jane Martin,45,Male,San Martin de Porres,490 Street San Martin de Porres,09599211507,1956-01-08
Chris Anderson,40,LGBTQ,Don Bosco,930 Street Don Bosco,09707983276,1991-02-18
Skyler Harris,66,Male,Marcelo Green,581 Road Marcelo Green,09497624144,1942-05-31
Chris Thomas,28,Male,Marcelo Green,937 Avenue Marcelo Green,09540861525,1972-11-13
Morgan Johnson,83,Male,Merville,86 Street Merville,09160983736,1940-10-21
Taylor Robinson,45,LGBTQ,Don Bosco,324 Road Don Bosco,09764032943,1942-09-12
Jordan Anderson,38,LGBTQ,Don Bosco,878 Street Don Bosco,09686509649,2023-12-13
John Robinson,74,Male,San Martin de Porres,137 Road San Martin de Porres,09491112950,1972-01-13
Drew Brown,12,LGBTQ,BF Homes,634 Avenue BF Homes,09175006058,2023-10-10
Jane Martinez,68,Female,San Antonio,168 Avenue San Antonio,09924522241,1984-10-02
Sam Smith,24,Male,Sun Valley,630 Road Sun Valley,09779494306,2015-07-22
Skyler Martin,61,LGBTQ,Merville,855 Street Merville,09703204128,1988-11-01
Pat Robinson,34,LGBTQ,Merville,627 Avenue Merville,09965420490,1946-10-15
Jordan Robinson,60,LGBTQ,Marcelo Green,625 Avenue Marcelo Green,09979819761,1972-04-17
Jordan Harris,61,Female,Merville,28 Avenue Merville,09482592067,1982-08-21
Taylor White,75,Male,San Antonio,678 Avenue San Antonio,09504863779,1978-09-20
Casey Garcia,42,Female,Sun Valley,585 Road Sun Valley,09458296358,2020-05-17
Sam Thompson,18,Female,BF Homes,444 Avenue BF Homes,09810508834,1989-02-11
Drew Martin,30,Female,Sun Valley,295 Street Sun Valley,09577456033,1959-05-28
Robin Robinson,55,Female,BF Homes,949 Street BF Homes,09586289774,1975-05-17
Chris Harris,76,Male,San Antonio,437 Avenue San Antonio,09160700880,1992-10-20
John White,74,Female,Don Bosco,842 Avenue Don Bosco,09232251507,2006-12-15
Morgan Robinson,34,Male,San Antonio,264 Road San Antonio,09968310520,1965-04-14
Skyler White,21,Male,San Antonio,386 Street San Antonio,09470613853,1973-10-15
Taylor Martin,64,Male,Don Bosco,233 Avenue Don Bosco,09404020754,1996-11-07
Drew Johnson,78,Female,Merville,977 Street Merville,09378854767,1980-05-27
John Smith,87,LGBTQ,Marcelo Green,999 Avenue Marcelo Green,09798450050,1947-04-08
Robin Thompson,13,Female,San Antonio,419 Road San Antonio,09116328963,1969-11-21
Taylor White,46,Female,Sun Valley,446 Road Sun Valley,09852941508,2023-01-03
Jamie Jackson,48,Female,Marcelo Green,272 Road Marcelo Green,09565680022,1946-11-21
Skyler Thompson,51,Female,Sun Valley,748 Road Sun Valley,09733254821,1944-04-09
John Garcia,60,LGBTQ,Marcelo Green,55 Road Marcelo Green,09814289904,1974-03-22
Skyler Thomas,18,Female,San Martin de Porres,311 Avenue San Martin de Porres,09404986693,1967-09-29
Skyler Thomas,10,LGBTQ,BF Homes,637 Street BF Homes,09280894966,1944-08-02
Sam Jackson,48,LGBTQ,Don Bosco,959 Avenue Don Bosco,09355616615,1959-09-29
Alex Thomas,8,LGBTQ,BF Homes,517 Road BF Homes,09713337130,1993-07-10
Alex Anderson,89,Male,Merville,772 Street Merville,09288233437,1961-11-15
Casey Harris,32,Female,BF Homes,978 Road BF Homes,09721294548,1975-01-28
Robin Jackson,46,Male,BF Homes,912 Street BF Homes,09153418269,2023-10-29
John Brown,72,LGBTQ,Marcelo Green,11 Street Marcelo Green,09476296670,1998-02-26
Taylor Jackson,1,Male,Marcelo Green,317 Avenue Marcelo Green,09705079888,2017-05-19
Drew Martinez,63,LGBTQ,Moonwalk,989 Road Moonwalk,09768367101,2004-02-10
Jane Garcia,26,Female,Marcelo Green,478 Avenue Marcelo Green,09463836257,1975-06-23
Jamie Martinez,51,Female,Marcelo Green,885 Street Marcelo Green,09248283365,1991-04-26
Jamie Anderson,59,LGBTQ,San Antonio,560 Street San Antonio,09710360015,1974-12-07
Pat Smith,43,Female,BF Homes,768 Street BF Homes,09292779198,2008-06-17
Sam Martinez,84,LGBTQ,San Martin de Porres,409 Road San Martin de Porres,09718691341,2003-11-14
Jordan White,52,LGBTQ,Don Bosco,751 Road Don Bosco,09650925418,1950-02-03
Jamie Jackson,10,Male,Don Bosco,784 Road Don Bosco,09371741711,1987-11-26
John Smith,63,Male,San Martin de Porres,116 Road San Martin de Porres,09273551766,1953-12-06
Drew Jackson,53,Female,Sun Valley,576 Road Sun Valley,09127047323,2019-08-28
Jordan Smith,23,LGBTQ,San Martin de Porres,595 Road San Martin de Porres,09110591823,1951-01-13
Robin Jackson,45,Female,BF Homes,933 Street BF Homes,09998505926,1960-12-31
Pat Anderson,56,LGBTQ,Marcelo Green,62 Street Marcelo Green,09495202588,1953-10-19
Chris Thompson,86,Male,Sun Valley,733 Avenue Sun Valley,09410918333,1993-05-06
Robin Thompson,83,Male,BF Homes,74 Street BF Homes,09770332368,1976-09-10
John Martin,75,LGBTQ,San Antonio,334 Road San Antonio,09689753802,1957-10-31
Sam Harris,68,Female,Sun Valley,886 Street Sun Valley,09357771435,1944-10-16
Robin Brown,52,Female,San Antonio,65 Street San Antonio,09477316474,2023-05-21
Drew Thomas,15,Male,BF Homes,998 Road BF Homes,09820403395,2017-02-19
Casey Thompson,31,Female,Marcelo Green,213 Road Marcelo Green,09480826640,2016-02-02
Robin Johnson,58,LGBTQ,San Antonio,356 Street San Antonio,09296666853,2002-04-30
Jordan Jackson,53,Male,San Martin de Porres,601 Road San Martin de Porres,09466831248,1978-01-12
Cameron Garcia,39,Male,San Martin de Porres,670 Avenue San Martin de Porres,09162448119,1949-09-10
Taylor White,31,Male,Marcelo Green,663 Avenue Marcelo Green,09670682158,2000-08-16
Jordan Brown,84,Female,San Antonio,321 Street San Antonio,09918492464,1976-03-03
John Martin,64,LGBTQ,Sun Valley,335 Street Sun Valley,09231371456,1963-03-09
Jane Taylor,73,LGBTQ,Don Bosco,827 Avenue Don Bosco,09108158838,2018-03-31
Taylor Johnson,57,LGBTQ,Marcelo Green,974 Road Marcelo Green,09244579077,1992-12-18
Pat Smith,43,Male,Moonwalk,781 Road Moonwalk,09803885428,1954-02-06
Drew Garcia,45,Male,BF Homes,80 Street BF Homes,09946317501,2022-10-05
Drew Martinez,43,LGBTQ,Don Bosco,438 Street Don Bosco,09168272451,2003-01-17
Sam Brown,67,LGBTQ,Moonwalk,715 Avenue Moonwalk,09769179308,1985-10-30
Casey Harris,61,LGBTQ,San Antonio,494 Avenue San Antonio,09901091203,1995-05-31
Morgan Martin,3,LGBTQ,BF Homes,771 Road BF Homes,09326701693,1963-02-25
Pat White,89,Female,BF Homes,227 Avenue BF Homes,09947819636,1961-03-26
Jordan Thomas,52,Female,Don Bosco,79 Road Don Bosco,09599896048,1969-06-03
Jordan Robinson,5,Female,Marcelo Green,939 Street Marcelo Green,09690603065,1985-09-07
Sam Robinson,69,Female,Don Bosco,391 Street Don Bosco,09988622223,1949-11-12
Casey White,84,LGBTQ,Sun Valley,145 Street Sun Valley,09460058454,1954-06-30
Skyler Garcia,23,Male,BF Homes,527 Street BF Homes,09367287391,1951-04-03
Alex Taylor,32,Female,Marcelo Green,659 Avenue Marcelo Green,09689817490,2022-07-16
Drew Taylor,8,Female,Moonwalk,590 Road Moonwalk,09913738076,1962-07-19
Jordan Taylor,65,LGBTQ,Sun Valley,646 Avenue Sun Valley,09766530349,1984-06-20
Casey White,70,Female,Marcelo Green,665 Street Marcelo Green,09609957160,1974-06-04
Jordan Thomas,28,Male,Sun Valley,421 Road Sun Valley,09850647428,2014-10-28
Taylor Thompson,30,Female,San Martin de Porres,380 Avenue San Martin de Porres,09932892169,1940-02-04
Cameron Harris,21,Female,Don Bosco,629 Street Don Bosco,09564424454,2008-06-01
Taylor Smith,7,Female,BF Homes,52 Road BF Homes,09700695721,1956-11-28
Jamie Garcia,2,Female,San Martin de Porres,43 Avenue San Martin de Porres,09545123331,1992-05-23
Skyler Brown,31,LGBTQ,Sun Valley,328 Road Sun Valley,09455116932,1960-07-30
Morgan Anderson,20,Male,San Martin de Porres,928 Avenue San Martin de Porres,09176924337,1968-03-10
Jane Taylor,1,LGBTQ,BF Homes,438 Road BF Homes,09805083168,2009-06-23
Jane Thompson,3,LGBTQ,Merville,146 Street Merville,09684994558,1965-01-15
Morgan Martinez,5,Male,Merville,349 Street Merville,09980903572,1955-11-06
Jane Brown,89,Female,San Martin de Porres,127 Road San Martin de Porres,09912275754,1945-02-07
Alex Smith,63,LGBTQ,Marcelo Green,378 Avenue Marcelo Green,09832868217,1994-11-02
Jordan Smith,34,Male,Sun Valley,219 Road Sun Valley,09501225940,1980-12-20
Casey Robinson,14,Female,Merville,11 Street Merville,09212443782,2017-10-30
Skyler Jackson,33,LGBTQ,Sun Valley,539 Road Sun Valley,09962334698,2023-07-02
Sam Martinez,73,Female,Marcelo Green,325 Street Marcelo Green,09188127671,1989-11-23
Chris Brown,54,LGBTQ,Don Bosco,620 Street Don Bosco,09485057928,2002-07-28
Morgan Smith,70,Male,San Antonio,871 Avenue San Antonio,09423900732,1985-12-26
Pat Jackson,35,LGBTQ,Marcelo Green,58 Road Marcelo Green,09659331520,1970-12-02
Jane Thompson,59,Male,Marcelo Green,355 Street Marcelo Green,09447010943,2012-08-20
John Garcia,54,Male,Sun Valley,743 Avenue Sun Valley,09426815160,1949-07-16
Taylor Brown,73,Female,San Martin de Porres,396 Street San Martin de Porres,09864562145,1972-09-20
Skyler Martinez,19,LGBTQ,Sun Valley,775 Street Sun Valley,09432375450,1945-04-18
Jamie Thomas,69,Female,San Martin de Porres,53 Street San Martin de Porres,09488996328,2010-02-03
Alex Johnson,70,Male,San Martin de Porres,79 Road San Martin de Porres,09365219956,2017-01-24
Taylor Anderson,79,Male,Marcelo Green,929 Road Marcelo Green,09358825516,2013-06-23
Jamie Garcia,8,Male,Moonwalk,670 Street Moonwalk,09344527609,2002-11-13
Robin Martin,83,Male,BF Homes,284 Road BF Homes,09458953402,1993-09-29
Jane Garcia,16,Male,Marcelo Green,512 Street Marcelo Green,09762726976,1944-11-26
Drew Brown,58,LGBTQ,Sun Valley,265 Avenue Sun Valley,09791038517,2002-04-24
Jane White,13,LGBTQ,Moonwalk,440 Avenue Moonwalk,09914906255,1943-05-25
Taylor Martinez,56,Male,Marcelo Green,266 Street Marcelo Green,09574325396,1956-09-06
Cameron Taylor,45,LGBTQ,BF Homes,57 Street BF Homes,09787520414,1989-11-05
Sam Jackson,54,Female,Sun Valley,919 Road Sun Valley,09334154653,1968-04-23
Casey Anderson,86,LGBTQ,BF Homes,850 Road BF Homes,09127073553,2010-11-29
Pat Harris,41,LGBTQ,Moonwalk,456 Street Moonwalk,09170904856,1988-01-23
Taylor Garcia,36,Male,Moonwalk,455 Road Moonwalk,09236014786,2005-11-22
Alex Brown,65,LGBTQ,Merville,721 Street Merville,09698113337,1980-04-03
John Harris,80,LGBTQ,Moonwalk,830 Road Moonwalk,09788044818,1973-02-10
Casey Harris,86,Male,Merville,719 Road Merville,09230739324,1962-01-11
John Robinson,55,Female,Marcelo Green,41 Avenue Marcelo Green,09598438902,2009-03-29
Jordan Brown,1,Female,Don Bosco,526 Street Don Bosco,09217609685,1961-10-27
Morgan Robinson,90,Male,San Antonio,120 Road San Antonio,09997266176,1950-08-09
Alex Harris,30,LGBTQ,Don Bosco,918 Street Don Bosco,09808783617,1992-07-26
Jordan Martinez,79,Male,San Martin de Porres,463 Road San Martin de Porres,09829993366,1972-09-02
Chris Brown,18,Female,San Antonio,919 Avenue San Antonio,09787324229,1957-10-22
Morgan Thompson,13,LGBTQ,Marcelo Green,725 Street Marcelo Green,09409128624,2004-08-07
Drew Martinez,27,LGBTQ,San Martin de Porres,108 Road San Martin de Porres,09386491170,1946-06-30
Skyler White,52,LGBTQ,San Martin de Porres,869 Road San Martin de Porres,09651511786,1973-06-29
Chris Garcia,2,Female,Moonwalk,737 Street Moonwalk,09498164622,1981-04-16
Taylor Thompson,65,Female,San Antonio,334 Avenue San Antonio,09814215689,2012-04-01
Sam Smith,68,Male,San Martin de Porres,487 Road San Martin de Porres,09544307921,1947-12-26
Cameron Thomas,1,Female,Merville,560 Road Merville,09314341118,1994-07-16
Jordan Garcia,75,Male,Merville,134 Street Merville,09429070094,1974-01-16
Casey Thompson,68,LGBTQ,Don Bosco,126 Road Don Bosco,09206978836,2007-02-03
Jamie Thomas,78,Male,Don Bosco,850 Road Don Bosco,09791121637,2011-05-11
Robin Robinson,11,LGBTQ,BF Homes,654 Road BF Homes,09787458389,1945-02-20
Jamie Garcia,9,Female,San Martin de Porres,93 Road San Martin de Porres,09353871702,1995-05-28
Jane White,29,LGBTQ,Marcelo Green,173 Road Marcelo Green,09342159520,1998-06-12
Robin Anderson,66,Female,Don Bosco,249 Avenue Don Bosco,09939329057,1983-07-02
Alex Johnson,25,Male,San Martin de Porres,364 Street San Martin de Porres,09567607017,1977-08-09
Chris Harris,61,Female,San Antonio,235 Street San Antonio,09731185949,1947-02-07
John Jackson,26,Male,BF Homes,923 Road BF Homes,09206221004,1956-01-17
Sam Brown,55,LGBTQ,Moonwalk,338 Avenue Moonwalk,09796317103,2017-08-28
Sam Martinez,42,LGBTQ,Sun Valley,258 Road Sun Valley,09667188321,2000-11-07
Cameron Jackson,50,Female,BF Homes,962 Road BF Homes,09631703998,2021-07-27
Sam Martinez,18,Female,Marcelo Green,848 Street Marcelo Green,09792038351,1973-12-21
Jordan Anderson,69,LGBTQ,San Antonio,221 Avenue San Antonio,09918268538,1973-08-22
Robin White,57,LGBTQ,Merville,689 Road Merville,09642632289,1992-05-29
John Jackson,76,Female,San Antonio,431 Avenue San Antonio,09930544434,1973-10-06
Skyler Thomas,4,LGBTQ,Moonwalk,608 Road Moonwalk,09549302820,1953-09-30
Jordan Robinson,28,Female,Don Bosco,521 Avenue Don Bosco,09653022774,2023-01-12
Jordan Robinson,13,Female,BF Homes,44 Avenue BF Homes,09834807886,1969-09-10
Alex Martin,83,Male,Sun Valley,601 Avenue Sun Valley,09604557910,2023-08-20
Morgan Robinson,72,LGBTQ,San Antonio,966 Road San Antonio,09578893728,1973-01-28
Cameron Taylor,45,LGBTQ,San Antonio,965 Avenue San Antonio,09991547616,1976-04-02
Jordan Johnson,65,Female,Don Bosco,92 Avenue Don Bosco,09100261442,1974-06-01
John White,27,Male,Marcelo Green,436 Street Marcelo Green,09941423257,1971-12-29
Jordan Brown,18,Male,Sun Valley,322 Road Sun Valley,09720792091,1972-03-27
Morgan White,45,LGBTQ,San Martin de Porres,506 Road San Martin de Porres,09665889752,1955-06-07
Casey Harris,80,LGBTQ,San Antonio,593 Street San Antonio,09647268494,2021-03-20
Jane Johnson,66,Male,San Martin de Porres,693 Street San Martin de Porres,09992836519,1952-04-10
Chris Martinez,84,LGBTQ,San Martin de Porres,567 Street San Martin de Porres,09830214243,1989-07-05
Skyler Thompson,43,Female,Don Bosco,775 Street Don Bosco,09325828101,1943-09-30
Casey Taylor,7,Female,San Antonio,768 Avenue San Antonio,09255709864,2007-05-19
Cameron Johnson,17,LGBTQ,Marcelo Green,117 Avenue Marcelo Green,09649174568,2014-03-06
Casey Anderson,56,LGBTQ,San Martin de Porres,531 Avenue San Martin de Porres,09349037856,1974-04-22
Chris White,44,Male,Sun Valley,259 Road Sun Valley,09773591790,2016-03-28
Sam Jackson,49,Male,BF Homes,29 Avenue BF Homes,09457737651,1975-12-08
Skyler Smith,39,LGBTQ,San Antonio,997 Avenue San Antonio,09802802526,1944-10-08
Skyler Martin,24,Male,Sun Valley,256 Avenue Sun Valley,09529580487,2021-01-14
Alex Anderson,66,LGBTQ,San Martin de Porres,116 Avenue San Martin de Porres,09218834057,1992-09-05
Sam Taylor,42,Female,Sun Valley,380 Road Sun Valley,09687790117,1952-03-08
Skyler Robinson,81,LGBTQ,BF Homes,39 Road BF Homes,09113870510,1941-10-29
Drew Anderson,16,Male,San Antonio,417 Road San Antonio,09214616239,1962-06-19
Drew Harris,43,Female,BF Homes,640 Avenue BF Homes,09209771870,2023-02-22
Drew Robinson,11,Female,San Martin de Porres,658 Street San Martin de Porres,09900197535,2005-12-27
Chris Anderson,25,Male,Moonwalk,891 Road Moonwalk,09285928853,2011-03-31
Alex Anderson,47,Male,San Antonio,883 Road San Antonio,09823310422,1977-07-11
Jordan Garcia,75,LGBTQ,Merville,833 Street Merville,09416941850,2019-05-23
